               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087653,             0.02612,                   0,            0.001184,             0.32338,           0.0043574,          0.00075674,            0.072729,            0.011618,                   0,              0.0705,           0.0032778,           0.0032778
                   1,            0.078906,             0.02693,                   0,            0.001275,             0.34826,           0.0030243,          0.00071461,            0.072521,            0.010886,                   0,            0.040435,           0.0065457,           0.0065457
                   2,            0.076114,            0.027142,                   0,            0.052856,             0.26866,            0.044475,            0.010849,            0.069068,            0.012401,                   0,            0.010303,           0.0097475,           0.0097475
                   3,             0.06811,             0.02996,                   0,            0.075999,             0.48756,             0.11633,            0.039429,            0.067136,            0.011718,                   0,            0.009703,            0.009703,            0.009703
                   4,             0.06201,            0.029839,                   0,             0.27221,             0.37775,             0.18552,            0.064244,            0.064999,            0.012259,                   0,            0.009703,            0.009703,            0.009703
                   5,             0.05857,            0.029526,                   0,             0.26755,             0.45069,             0.19441,            0.066526,             0.06233,            0.014659,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.057716,            0.029039,                   0,             0.20044,             0.42289,             0.13548,            0.037429,            0.063672,            0.013811,                   0,            0.009505,            0.009505,            0.009505
                   7,             0.05626,            0.029125,                   0,              0.3375,             0.45771,             0.25593,            0.087275,            0.063572,            0.015683,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.055108,            0.028148,                   0,              0.3908,             0.41294,             0.28224,             0.10344,            0.060179,            0.010222,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.05197,            0.027004,                   0,             0.46116,             0.45274,             0.43722,             0.16642,             0.05813,            0.011014,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.051522,            0.026588,                   0,             0.27215,             0.39303,             0.22477,            0.072733,            0.053779,            0.010658,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.050358,             0.02631,                   0,             0.29457,             0.39801,             0.23253,            0.066549,            0.063353,             0.01061,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.047681,            0.025142,                   0,             0.42123,             0.48884,             0.36904,             0.13583,            0.059299,           0.0093921,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.047826,            0.025472,                   0,             0.24529,             0.31343,             0.23193,            0.095646,            0.053353,           0.0091092,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.04729,            0.024354,                   0,             0.35378,             0.43284,             0.34836,             0.12632,            0.051909,           0.0092967,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.044897,            0.024287,                   0,             0.56215,             0.52239,             0.49915,             0.21076,            0.045656,           0.0093106,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.04384,            0.024265,                   0,             0.55972,             0.51244,             0.51742,             0.24441,            0.043614,            0.008245,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.043474,            0.024238,                   0,             0.63199,             0.61518,             0.64123,              0.2819,            0.043175,           0.0083845,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.042941,            0.023518,                   0,             0.60376,             0.56219,             0.55733,             0.24928,            0.047541,           0.0084551,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.042048,            0.022979,                   0,             0.67835,             0.60697,             0.69286,             0.35994,            0.040557,           0.0078811,                   0,            0.008218,            0.008218,            0.008218
