               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,              0.0515,            0.027276,                   0,             0.50091,              0.4444,             0.42196,             0.13996,            0.055538,            0.012351,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.051802,            0.027689,                   0,             0.37832,             0.50257,             0.36469,             0.12166,             0.05495,            0.011269,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.051492,            0.027209,                   0,              0.3878,             0.45381,             0.38639,              0.1274,             0.05384,            0.012341,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.052809,            0.027096,                   0,             0.38492,             0.51244,             0.39889,             0.13418,            0.055713,             0.01208,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.051762,            0.027091,                   0,             0.40389,             0.42136,             0.37437,             0.13411,            0.052773,            0.011563,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,             0.05103,            0.027474,                   0,             0.40427,             0.47264,             0.35655,             0.11731,            0.054526,            0.012296,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,            0.050955,            0.027187,                   0,             0.39684,             0.47264,             0.37106,             0.11612,            0.055557,            0.012741,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.051057,            0.027753,                   0,             0.40604,             0.49751,             0.38733,             0.12624,            0.054564,               0.012,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,            0.051381,            0.027905,                   0,             0.39915,             0.44776,             0.37035,             0.12896,            0.055014,            0.012085,                   0,            0.009109,            0.009109,            0.009109
                  47,            0.050789,            0.026682,                   0,             0.53274,             0.51051,             0.49901,             0.17083,            0.054499,            0.011498,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,            0.050204,            0.026947,                   0,             0.48463,             0.49591,             0.47634,             0.17274,            0.052303,            0.012777,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,            0.050439,            0.027146,                   0,             0.42059,             0.49254,             0.43618,             0.15135,            0.054706,            0.012217,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.051525,             0.02725,                   0,             0.38314,             0.52239,             0.37235,             0.12888,            0.054471,            0.012063,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.050602,            0.026934,                   0,             0.43659,             0.48259,             0.43374,             0.15111,            0.053918,             0.01117,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.050964,            0.027492,                   0,             0.51859,             0.50378,             0.51133,              0.1885,            0.054492,            0.011862,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.049974,            0.027158,                   0,             0.46691,             0.52736,             0.47109,             0.17271,            0.052142,            0.012298,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,            0.050171,            0.026967,                   0,             0.47182,             0.51741,             0.45475,             0.17003,            0.052724,            0.011268,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.049825,            0.027213,                   0,             0.40356,             0.48259,             0.40529,             0.15008,            0.053681,            0.011555,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.050023,            0.027241,                   0,             0.47432,             0.47761,             0.49754,             0.19385,            0.052864,             0.01161,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.051505,              0.0271,                   0,             0.46899,             0.44279,             0.42791,             0.15729,            0.054084,             0.01213,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,            0.050603,            0.026737,                   0,             0.58878,             0.49751,             0.52095,             0.19141,            0.054408,            0.012657,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.050199,            0.026741,                   0,             0.43986,             0.53731,             0.45374,             0.17544,            0.052437,            0.012725,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,            0.049252,             0.02694,                   0,              0.4769,             0.52239,             0.46014,             0.16668,            0.052916,             0.01182,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.049473,            0.026796,                   0,             0.34088,             0.51203,             0.40268,              0.1507,            0.052001,            0.011503,                   0,            0.008812,            0.008812,            0.008812
                  62,            0.049538,            0.026767,                   0,              0.5401,             0.43781,              0.4661,             0.17927,            0.052816,            0.012105,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,            0.050325,            0.027131,                   0,             0.43528,             0.53731,             0.48947,             0.17362,            0.053917,            0.011517,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,             0.04959,            0.026594,                   0,             0.55132,             0.49751,             0.54068,             0.19958,            0.050911,            0.011888,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.051095,            0.027334,                   0,             0.45635,             0.50249,             0.45781,             0.16078,            0.053337,            0.011407,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,            0.049141,            0.026689,                   0,             0.41439,             0.57737,             0.46987,             0.17175,            0.051775,            0.012116,                   0,            0.008713,            0.008713,            0.008713
