               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085904,            0.025901,                   0,            0.001439,             0.39303,            0.003046,          0.00071898,            0.072735,            0.011755,                   0,             0.07025,           0.0033056,           0.0033056
                   1,            0.079805,              0.0267,                   0,           0.0087297,           0.0049751,           0.0044464,           0.0010655,            0.076033,            0.011115,                   0,            0.040184,           0.0065732,           0.0065732
                   2,            0.078294,            0.026594,                   0,             0.03953,            0.024876,           0.0072148,           0.0014297,            0.075011,            0.011159,                   0,            0.010053,           0.0097748,           0.0097748
                   3,            0.076935,            0.027432,                   0,            0.038044,            0.069652,            0.015651,           0.0034096,            0.072114,            0.012126,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.074377,            0.027385,                   0,            0.036593,             0.18905,            0.017597,           0.0038695,            0.070733,            0.011601,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.070581,             0.02835,                   0,            0.019708,             0.31841,            0.018688,            0.003918,            0.068675,            0.011596,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.066937,            0.029433,                   0,            0.030097,             0.20896,            0.017982,           0.0043181,            0.069261,            0.011985,                   0,            0.009505,            0.009505,            0.009505
                   7,              0.0642,            0.030669,                   0,            0.033946,             0.12438,            0.022674,           0.0055102,            0.066179,            0.012754,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.062234,            0.030318,                   0,            0.056887,             0.13924,            0.035214,           0.0080122,            0.065954,            0.012432,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.060924,            0.030146,                   0,            0.067853,             0.21393,            0.035105,           0.0082713,            0.065318,            0.012826,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.059579,             0.02973,                   0,            0.072485,             0.18408,            0.045517,            0.012744,            0.065845,             0.01208,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.059354,             0.02984,                   0,            0.072711,             0.16418,            0.045673,             0.01193,            0.065031,            0.011658,                   0,             0.00901,             0.00901,             0.00901
                  12,             0.05685,            0.028861,                   0,             0.21333,             0.36816,             0.16574,            0.042794,            0.063235,            0.012671,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.057977,            0.029384,                   0,             0.11316,             0.26866,            0.067351,             0.01714,            0.063389,            0.012826,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.058037,            0.028372,                   0,              0.1384,             0.31343,             0.10924,            0.031936,            0.064122,            0.011454,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.056915,            0.028605,                   0,             0.16229,             0.30846,             0.12048,            0.034391,            0.061755,            0.011739,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.056255,            0.028939,                   0,             0.20188,             0.34328,             0.16682,            0.049279,            0.061963,            0.012578,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.055709,            0.028907,                   0,             0.20006,             0.40299,             0.15086,            0.039765,            0.061433,            0.012489,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.056106,            0.028502,                   0,             0.20705,             0.33333,             0.16717,            0.043645,            0.062126,            0.012195,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.055763,             0.02832,                   0,              0.2884,             0.41294,             0.26568,            0.067924,            0.058983,             0.01287,                   0,            0.008218,            0.008218,            0.008218
                  20,             0.05635,            0.028309,                   0,             0.23945,             0.36318,             0.18852,            0.056086,            0.059382,            0.012269,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.055316,            0.027951,                   0,             0.24076,             0.33131,             0.21248,            0.067699,            0.058747,             0.01214,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.054437,            0.028044,                   0,             0.29701,             0.40299,             0.29218,            0.083714,             0.05894,            0.013214,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.055275,            0.028254,                   0,             0.17204,             0.39303,             0.15919,            0.047171,            0.059024,            0.012615,                   0,            0.007822,            0.007822,            0.007822
                  24,             0.05381,            0.027782,                   0,              0.2543,             0.41294,             0.21311,            0.058181,            0.058642,            0.012905,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.053693,            0.028468,                   0,             0.26965,             0.41791,             0.26908,            0.074163,            0.059151,            0.013021,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.053345,            0.028826,                   0,             0.22652,             0.37313,             0.18407,            0.055702,            0.057229,             0.01287,                   0,            0.007525,            0.007525,            0.007525
