,Epoch,gpu_mem,box,obj,cls,total,labels,img_size,P,R,mAP@.5,mAP@.5:.95,,,
,50/99,12.1G,0.04185,0.009791,0,0.05164,57,640,0.718,0.6617,0.6967,0.312,0.07677,0.005421,0
,51/99,12.1G,0.0388,0.01004,0,0.04884,51,640,0.7218,0.7101,0.732,0.3575,0.07243,0.005338,0
,52/99,12.1G,0.04011,0.01002,0,0.05013,46,640,0.7633,0.6965,0.7732,0.3811,0.07138,0.005329,0
,53/99,12.1G,0.03901,0.01003,0,0.04904,49,640,0.7605,0.6816,0.7428,0.3582,0.08119,0.005218,0
,54/99,12.1G,0.03542,0.009892,0,0.04531,60,640,0.7037,0.6866,0.7133,0.3596,0.08039,0.005181,0
,55/99,12.1G,0.04109,0.009751,0,0.05084,50,640,0.6467,0.6567,0.6864,0.3471,0.07697,0.005256,0
,56/99,12.1G,0.03844,0.009605,0,0.04805,57,640,0.6349,0.7007,0.7217,0.3581,0.07346,0.005474,0
,57/99,12.1G,0.03554,0.009448,0,0.04499,54,640,0.8182,0.6517,0.7658,0.3626,0.07367,0.005163,0
,58/99,12.1G,0.03817,0.009707,0,0.04788,54,640,0.8028,0.7114,0.7843,0.3977,0.07442,0.005221,0
,59/99,12.1G,0.03623,0.009625,0,0.04586,52,640,0.7888,0.7264,0.7893,0.4016,0.07549,0.005037,0
,60/99,12.1G,0.03806,0.00966,0,0.04772,39,640,0.8402,0.7065,0.787,0.3909,0.07245,0.004938,0
,61/99,12.1G,0.03909,0.009682,0,0.04877,52,640,0.8032,0.7309,0.7877,0.4026,0.07198,0.004926,0
,62/99,12.1G,0.03977,0.00964,0,0.04941,64,640,0.858,0.6318,0.7669,0.3978,0.07152,0.004944,0
,63/99,12.1G,0.03714,0.009628,0,0.04677,39,640,0.829,0.6816,0.7851,0.4045,0.07301,0.005108,0
,64/99,12.1G,0.03742,0.009948,0,0.04737,51,640,0.7959,0.6816,0.763,0.3785,0.07424,0.005133,0
,65/99,12.1G,0.04119,0.01002,0,0.05121,61,640,0.8068,0.6858,0.7927,0.405,0.0731,0.005176,0
,66/99,12.1G,0.03827,0.009565,0,0.04784,57,640,0.8147,0.6567,0.7646,0.3933,0.07264,0.005136,0
,67/99,12.1G,0.03744,0.009925,0,0.04736,42,640,0.7438,0.7512,0.7897,0.4156,0.07237,0.005237,0
